event_id,video_id,interaction_id,fusion_id,signature_id,start_frame,end_frame,duration_seconds,person_track_id,vehicle_track_id,location,decision,signature_score,confidence,matched_signature_name,behaviour_patterns,detected_actions,thumbnail_path,video_clip_path
EVT-SIG-7C629597,1.mp4,INT-0001,FUSED-INT-0001,SIG-7C629597,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-7C629597.jpg,outputs/forensic_clips/event_EVT-SIG-7C629597.avi
EVT-SIG-E970F8D5,1.mp4,INT-0001,FUSED-INT-0001,SIG-E970F8D5,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-E970F8D5.jpg,outputs/forensic_clips/event_EVT-SIG-E970F8D5.avi
EVT-SIG-B364776B,1.mp4,INT-0001,FUSED-INT-0001,SIG-B364776B,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-B364776B.jpg,outputs/forensic_clips/event_EVT-SIG-B364776B.avi
EVT-SIG-D431E350,1.mp4,INT-0001,FUSED-INT-0001,SIG-D431E350,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-D431E350.jpg,outputs/forensic_clips/event_EVT-SIG-D431E350.avi
EVT-SIG-6EA9C75C,1.mp4,INT-0001,FUSED-INT-0001,SIG-6EA9C75C,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-6EA9C75C.jpg,outputs/forensic_clips/event_EVT-SIG-6EA9C75C.avi
EVT-SIG-5B399B67,1.mp4,INT-0001,FUSED-INT-0001,SIG-5B399B67,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-5B399B67.jpg,outputs/forensic_clips/event_EVT-SIG-5B399B67.avi
EVT-SIG-1B4E1D16,1.mp4,INT-0001,FUSED-INT-0001,SIG-1B4E1D16,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-1B4E1D16.jpg,outputs/forensic_clips/event_EVT-SIG-1B4E1D16.avi
EVT-SIG-90166C11,1.mp4,INT-0001,FUSED-INT-0001,SIG-90166C11,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-90166C11.jpg,outputs/forensic_clips/event_EVT-SIG-90166C11.avi
EVT-SIG-CFEEEB94,1.mp4,INT-0001,FUSED-INT-0001,SIG-CFEEEB94,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-CFEEEB94.jpg,outputs/forensic_clips/event_EVT-SIG-CFEEEB94.avi
EVT-SIG-5B28BBEA,1.mp4,INT-0001,FUSED-INT-0001,SIG-5B28BBEA,44,44,0.033,-1,-1,Camera 1,No Match,0.1,0.056,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-5B28BBEA.jpg,outputs/forensic_clips/event_EVT-SIG-5B28BBEA.avi
EVT-SIG-77795E11,1.mp4,INT-0001,FUSED-INT-0001,SIG-77795E11,44,44,0.033,-1,-1,Camera 1,No Match,0.1,0.056,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-77795E11.jpg,outputs/forensic_clips/event_EVT-SIG-77795E11.avi
EVT-SIG-B40847AF,1.mp4,INT-0001,FUSED-INT-0001,SIG-B40847AF,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-B40847AF.jpg,outputs/forensic_clips/event_EVT-SIG-B40847AF.avi
EVT-SIG-D3AE4288,1.mp4,INT-0001,FUSED-INT-0001,SIG-D3AE4288,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-D3AE4288.jpg,outputs/forensic_clips/event_EVT-SIG-D3AE4288.avi
EVT-SIG-330DA207,1.mp4,INT-0001,FUSED-INT-0001,SIG-330DA207,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-330DA207.jpg,outputs/forensic_clips/event_EVT-SIG-330DA207.avi
EVT-SIG-635A927E,1.mp4,INT-0001,FUSED-INT-0001,SIG-635A927E,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-635A927E.jpg,outputs/forensic_clips/event_EVT-SIG-635A927E.avi
EVT-SIG-2DED2AF4,1.mp4,INT-0001,FUSED-INT-0001,SIG-2DED2AF4,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-2DED2AF4.jpg,outputs/forensic_clips/event_EVT-SIG-2DED2AF4.avi
EVT-SIG-C48E937D,1.mp4,INT-0001,FUSED-INT-0001,SIG-C48E937D,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-C48E937D.jpg,outputs/forensic_clips/event_EVT-SIG-C48E937D.avi
EVT-SIG-255954B4,1.mp4,INT-0001,FUSED-INT-0001,SIG-255954B4,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-255954B4.jpg,outputs/forensic_clips/event_EVT-SIG-255954B4.avi
EVT-SIG-5220B9B4,1.mp4,INT-0001,FUSED-INT-0001,SIG-5220B9B4,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-5220B9B4.jpg,outputs/forensic_clips/event_EVT-SIG-5220B9B4.avi
EVT-SIG-EC57A124,1.mp4,INT-0001,FUSED-INT-0001,SIG-EC57A124,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-EC57A124.jpg,outputs/forensic_clips/event_EVT-SIG-EC57A124.avi
EVT-SIG-3A8A5EA5,1.mp4,INT-0001,FUSED-INT-0001,SIG-3A8A5EA5,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-3A8A5EA5.jpg,outputs/forensic_clips/event_EVT-SIG-3A8A5EA5.avi
EVT-SIG-DF032B04,1.mp4,INT-0001,FUSED-INT-0001,SIG-DF032B04,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-DF032B04.jpg,outputs/forensic_clips/event_EVT-SIG-DF032B04.avi
EVT-SIG-1F778774,1.mp4,INT-0001,FUSED-INT-0001,SIG-1F778774,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-1F778774.jpg,outputs/forensic_clips/event_EVT-SIG-1F778774.avi
EVT-SIG-4EF4ABAB,1.mp4,INT-0001,FUSED-INT-0001,SIG-4EF4ABAB,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-4EF4ABAB.jpg,outputs/forensic_clips/event_EVT-SIG-4EF4ABAB.avi
EVT-SIG-71B4DA12,1.mp4,INT-0001,FUSED-INT-0001,SIG-71B4DA12,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-71B4DA12.jpg,outputs/forensic_clips/event_EVT-SIG-71B4DA12.avi
EVT-SIG-453AD260,1.mp4,INT-0001,FUSED-INT-0001,SIG-453AD260,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-453AD260.jpg,outputs/forensic_clips/event_EVT-SIG-453AD260.avi
EVT-SIG-425B9DC7,1.mp4,INT-0001,FUSED-INT-0001,SIG-425B9DC7,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-425B9DC7.jpg,outputs/forensic_clips/event_EVT-SIG-425B9DC7.avi
EVT-SIG-05D715A9,1.mp4,INT-0001,FUSED-INT-0001,SIG-05D715A9,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-05D715A9.jpg,outputs/forensic_clips/event_EVT-SIG-05D715A9.avi
EVT-SIG-1EFD97F0,1.mp4,INT-0001,FUSED-INT-0001,SIG-1EFD97F0,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-1EFD97F0.jpg,outputs/forensic_clips/event_EVT-SIG-1EFD97F0.avi
EVT-SIG-11A3AAE2,1.mp4,INT-0001,FUSED-INT-0001,SIG-11A3AAE2,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-11A3AAE2.jpg,outputs/forensic_clips/event_EVT-SIG-11A3AAE2.avi
EVT-SIG-EB1A8074,1.mp4,INT-0001,FUSED-INT-0001,SIG-EB1A8074,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-EB1A8074.jpg,outputs/forensic_clips/event_EVT-SIG-EB1A8074.avi
EVT-SIG-B40A868F,1.mp4,INT-0001,FUSED-INT-0001,SIG-B40A868F,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-B40A868F.jpg,outputs/forensic_clips/event_EVT-SIG-B40A868F.avi
EVT-SIG-76F10FA6,1.mp4,INT-0001,FUSED-INT-0001,SIG-76F10FA6,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-76F10FA6.jpg,outputs/forensic_clips/event_EVT-SIG-76F10FA6.avi
EVT-SIG-6DD1458F,1.mp4,INT-0001,FUSED-INT-0001,SIG-6DD1458F,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-6DD1458F.jpg,outputs/forensic_clips/event_EVT-SIG-6DD1458F.avi
EVT-SIG-28F89EEC,1.mp4,INT-0001,FUSED-INT-0001,SIG-28F89EEC,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-28F89EEC.jpg,outputs/forensic_clips/event_EVT-SIG-28F89EEC.avi
EVT-SIG-B8F0B571,1.mp4,INT-0001,FUSED-INT-0001,SIG-B8F0B571,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-B8F0B571.jpg,outputs/forensic_clips/event_EVT-SIG-B8F0B571.avi
EVT-SIG-2919A2B3,1.mp4,INT-0001,FUSED-INT-0001,SIG-2919A2B3,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-2919A2B3.jpg,outputs/forensic_clips/event_EVT-SIG-2919A2B3.avi
EVT-SIG-896B857A,1.mp4,INT-0001,FUSED-INT-0001,SIG-896B857A,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-896B857A.jpg,outputs/forensic_clips/event_EVT-SIG-896B857A.avi
EVT-SIG-8AE4DDDF,1.mp4,INT-0001,FUSED-INT-0001,SIG-8AE4DDDF,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-8AE4DDDF.jpg,outputs/forensic_clips/event_EVT-SIG-8AE4DDDF.avi
EVT-SIG-F82B7BCA,1.mp4,INT-0001,FUSED-INT-0001,SIG-F82B7BCA,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-F82B7BCA.jpg,outputs/forensic_clips/event_EVT-SIG-F82B7BCA.avi
EVT-SIG-16C6F7E7,1.mp4,INT-0001,FUSED-INT-0001,SIG-16C6F7E7,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-16C6F7E7.jpg,outputs/forensic_clips/event_EVT-SIG-16C6F7E7.avi
EVT-SIG-89A2A84E,1.mp4,INT-0001,FUSED-INT-0001,SIG-89A2A84E,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-89A2A84E.jpg,outputs/forensic_clips/event_EVT-SIG-89A2A84E.avi
EVT-SIG-D258E89A,1.mp4,INT-0001,FUSED-INT-0001,SIG-D258E89A,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-D258E89A.jpg,outputs/forensic_clips/event_EVT-SIG-D258E89A.avi
EVT-SIG-54BACDF2,1.mp4,INT-0001,FUSED-INT-0001,SIG-54BACDF2,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-54BACDF2.jpg,outputs/forensic_clips/event_EVT-SIG-54BACDF2.avi
EVT-SIG-ED427DFB,1.mp4,INT-0001,FUSED-INT-0001,SIG-ED427DFB,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-ED427DFB.jpg,outputs/forensic_clips/event_EVT-SIG-ED427DFB.avi
EVT-SIG-2E0FBBBB,1.mp4,INT-0001,FUSED-INT-0001,SIG-2E0FBBBB,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-2E0FBBBB.jpg,outputs/forensic_clips/event_EVT-SIG-2E0FBBBB.avi
EVT-SIG-516655E1,1.mp4,INT-0001,FUSED-INT-0001,SIG-516655E1,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-516655E1.jpg,outputs/forensic_clips/event_EVT-SIG-516655E1.avi
EVT-SIG-17783F56,1.mp4,INT-0001,FUSED-INT-0001,SIG-17783F56,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-17783F56.jpg,outputs/forensic_clips/event_EVT-SIG-17783F56.avi
EVT-SIG-C1A1C095,1.mp4,INT-0001,FUSED-INT-0001,SIG-C1A1C095,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-C1A1C095.jpg,outputs/forensic_clips/event_EVT-SIG-C1A1C095.avi
EVT-SIG-88F240C1,1.mp4,INT-0001,FUSED-INT-0001,SIG-88F240C1,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-88F240C1.jpg,outputs/forensic_clips/event_EVT-SIG-88F240C1.avi
EVT-SIG-555AD4C6,1.mp4,INT-0001,FUSED-INT-0001,SIG-555AD4C6,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-555AD4C6.jpg,outputs/forensic_clips/event_EVT-SIG-555AD4C6.avi
EVT-SIG-290E36FA,1.mp4,INT-0001,FUSED-INT-0001,SIG-290E36FA,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-290E36FA.jpg,outputs/forensic_clips/event_EVT-SIG-290E36FA.avi
EVT-SIG-B4FE75C3,1.mp4,INT-0001,FUSED-INT-0001,SIG-B4FE75C3,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-B4FE75C3.jpg,outputs/forensic_clips/event_EVT-SIG-B4FE75C3.avi
EVT-SIG-4DBA0669,1.mp4,INT-0001,FUSED-INT-0001,SIG-4DBA0669,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-4DBA0669.jpg,outputs/forensic_clips/event_EVT-SIG-4DBA0669.avi
EVT-SIG-A0D49B44,1.mp4,INT-0001,FUSED-INT-0001,SIG-A0D49B44,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-A0D49B44.jpg,outputs/forensic_clips/event_EVT-SIG-A0D49B44.avi
EVT-SIG-073FAF0B,1.mp4,INT-0001,FUSED-INT-0001,SIG-073FAF0B,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-073FAF0B.jpg,outputs/forensic_clips/event_EVT-SIG-073FAF0B.avi
EVT-SIG-A4C028C0,1.mp4,INT-0001,FUSED-INT-0001,SIG-A4C028C0,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-A4C028C0.jpg,outputs/forensic_clips/event_EVT-SIG-A4C028C0.avi
EVT-SIG-0F03BFBA,1.mp4,INT-0001,FUSED-INT-0001,SIG-0F03BFBA,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-0F03BFBA.jpg,outputs/forensic_clips/event_EVT-SIG-0F03BFBA.avi
EVT-SIG-D9DEA669,1.mp4,INT-0001,FUSED-INT-0001,SIG-D9DEA669,44,44,0.033,-1,-1,Camera 1,No Match,0.0,0.0,StandardMotorcycleSnatch,,,outputs\forensic_thumbnails/thumb_EVT-SIG-D9DEA669.jpg,outputs/forensic_clips/event_EVT-SIG-D9DEA669.avi
