sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0019-519,ROI-INT-0019,INT-0019,519,17.317,4,MediaPipe,COCO_17,17,0.5352,0.3463,31.09
SMP-INT-0004-520,ROI-INT-0004,INT-0004,520,17.351,3,MediaPipe,COCO_17,17,0.5,0.5,10.75
SMP-INT-0019-520,ROI-INT-0019,INT-0019,520,17.351,4,MediaPipe,COCO_17,17,0.5,0.5,13.21
SMP-INT-0004-521,ROI-INT-0004,INT-0004,521,17.384,3,MediaPipe,COCO_17,17,0.5,0.5,13.64
SMP-INT-0019-521,ROI-INT-0019,INT-0019,521,17.384,4,MediaPipe,COCO_17,17,0.5,0.5,28.33
SMP-INT-0004-522,ROI-INT-0004,INT-0004,522,17.417,3,MediaPipe,COCO_17,17,0.5,0.5,10.49
SMP-INT-0019-522,ROI-INT-0019,INT-0019,522,17.417,4,MediaPipe,COCO_17,17,0.5,0.5,10.56
SMP-INT-0004-523,ROI-INT-0004,INT-0004,523,17.451,3,MediaPipe,COCO_17,17,0.5,0.5,12.62
SMP-INT-0019-523,ROI-INT-0019,INT-0019,523,17.451,4,MediaPipe,COCO_17,17,0.5,0.5,10.99
SMP-INT-0004-524,ROI-INT-0004,INT-0004,524,17.484,3,MediaPipe,COCO_17,17,0.5,0.5,10.63
SMP-INT-0019-524,ROI-INT-0019,INT-0019,524,17.484,4,MediaPipe,COCO_17,17,0.5,0.5,12.43
SMP-INT-0004-525,ROI-INT-0004,INT-0004,525,17.518,3,MediaPipe,COCO_17,17,0.5,0.5,11.89
SMP-INT-0019-525,ROI-INT-0019,INT-0019,525,17.518,4,MediaPipe,COCO_17,17,0.4938,0.2904,29.73
SMP-INT-0026-526,ROI-INT-0026,INT-0026,526,17.551,10002,MediaPipe,COCO_17,17,0.5,0.5,25.92
SMP-INT-0004-526,ROI-INT-0004,INT-0004,526,17.551,3,MediaPipe,COCO_17,17,0.5,0.5,10.88
SMP-INT-0019-526,ROI-INT-0019,INT-0019,526,17.551,4,MediaPipe,COCO_17,17,0.5,0.5,12.24
SMP-INT-0004-527,ROI-INT-0004,INT-0004,527,17.584,3,MediaPipe,COCO_17,17,0.5,0.5,10.89
SMP-INT-0019-527,ROI-INT-0019,INT-0019,527,17.584,4,MediaPipe,COCO_17,17,0.5,0.5,13.01
SMP-INT-0004-528,ROI-INT-0004,INT-0004,528,17.618,3,MediaPipe,COCO_17,17,0.5,0.5,10.57
SMP-INT-0019-528,ROI-INT-0019,INT-0019,528,17.618,4,MediaPipe,COCO_17,17,0.5,0.5,11.68
SMP-INT-0004-532,ROI-INT-0004,INT-0004,532,17.751,3,MediaPipe,COCO_17,17,0.5,0.5,10.95
SMP-INT-0019-532,ROI-INT-0019,INT-0019,532,17.751,4,MediaPipe,COCO_17,17,0.5,0.5,12.17
SMP-INT-0004-533,ROI-INT-0004,INT-0004,533,17.784,3,MediaPipe,COCO_17,17,0.5,0.5,16.12
SMP-INT-0019-533,ROI-INT-0019,INT-0019,533,17.784,4,MediaPipe,COCO_17,17,0.5,0.5,14.97
SMP-INT-0004-534,ROI-INT-0004,INT-0004,534,17.818,3,MediaPipe,COCO_17,17,0.5,0.5,11.32
SMP-INT-0019-534,ROI-INT-0019,INT-0019,534,17.818,4,MediaPipe,COCO_17,17,0.5,0.5,13.9
SMP-INT-0004-542,ROI-INT-0004,INT-0004,542,18.085,3,MediaPipe,COCO_17,17,0.5,0.5,12.15
SMP-INT-0019-542,ROI-INT-0019,INT-0019,542,18.085,4,MediaPipe,COCO_17,17,0.5,0.5,11.7
