video_name,method,total_frames,motion_frames,discarded_frames,reduction_percentage,processing_time_seconds,fps,continuity_score,avg_segment_length,num_segments,average_motion_area_ratio,maximum_motion_area_ratio,minimum_motion_area_ratio
s_11.avi,Baseline,12525,12525,0,0.0,45.75540550000005,273.7381488182852,0.9999201596806387,12525.0,1,1.0,1.0,1.0
s_11.avi,FrameDifference,12525,12216,309,2.467065868263473,79.94205899999997,156.67597453300527,0.9954158480681073,218.14285714285714,56,0.044560484165518145,0.8364344618055556,0.0054296875
s_11.avi,MOG2,12525,12525,0,0.0,206.4185183999998,60.67769547560134,0.9999201596806387,12525.0,1,0.1303942742119927,1.0,0.04025282118055556
s_11.avi,KNN,12525,12525,0,0.0,294.0045516,42.60138127739108,0.9999201596806387,12525.0,1,0.1745244169646826,1.0,0.04973958333333333
s_11.avi,GMM,12525,12466,59,0.47105788423153694,291.4258497999999,42.9783425478408,0.9993582544521097,1558.25,8,0.04212923152711502,0.3928450520833333,0.0054296875
s_12.avi,Baseline,12525,12525,0,0.0,40.41144799999893,309.93692678372554,0.9999201596806387,12525.0,1,1.0,1.0,1.0
s_12.avi,FrameDifference,12525,12441,84,0.6706586826347305,82.69428649999827,151.46149184079678,0.9982316534040672,565.5,22,0.05289217205906311,0.17373155381944444,0.005441623263888889
s_12.avi,MOG2,12525,12525,0,0.0,212.3103597999998,58.99382400274192,0.9999201596806387,12525.0,1,0.19287944666223086,1.0,0.037023654513888886
s_12.avi,KNN,12525,12525,0,0.0,305.9578786000002,40.93700759500557,0.9999201596806387,12525.0,1,0.23482531482174304,1.0,0.04773654513888889
s_12.avi,GMM,12525,12499,26,0.20758483033932137,292.9652061000015,42.75251715633659,0.9997599807984638,4166.333333333333,3,0.0380317213571531,0.18254231770833335,0.005455729166666667
s_15.avi,Baseline,12525,12525,0,0.0,40.9885106999991,305.5734347527849,0.9999201596806387,12525.0,1,1.0,1.0,1.0
s_15.avi,FrameDifference,12525,12486,39,0.31137724550898205,79.99899040000128,156.56447584368266,0.9991991029953547,1248.6,10,0.06801276561693556,0.987724609375,0.0054568142361111115
s_15.avi,MOG2,12525,12525,0,0.0,229.59431799999948,54.5527437660719,0.9999201596806387,12525.0,1,0.25773992189232686,1.0,0.07037326388888888
s_15.avi,KNN,12525,12525,0,0.0,405.1587677000007,30.913807125788576,0.9999201596806387,12525.0,1,0.33800106271831437,1.0,0.08879123263888888
s_15.avi,GMM,12525,12524,1,0.007984031936127746,341.79992520000087,36.644244414831626,0.9999201533056531,12524.0,1,0.06000960482262951,0.5094086371527777,0.005911458333333334
