video_name,blur_size,threshold,reduction_percentage,fps,continuity_score
cctv_sample.avi,5x5,10,23.994638069705093,566.9528359839999,0.9029982363315696
cctv_sample.avi,5x5,20,42.761394101876675,423.7651350473425,0.8173302107728337
cctv_sample.avi,5x5,30,55.76407506702413,415.03998070121406,0.7545454545454545
cctv_sample.avi,5x5,50,75.06702412868633,497.61471786907686,0.6612903225806451
cctv_sample.avi,11x11,10,34.45040214477212,537.8488798935593,0.885480572597137
cctv_sample.avi,11x11,20,52.27882037533512,435.79414486621704,0.7837078651685393
cctv_sample.avi,11x11,30,66.08579088471849,454.75116211476865,0.7312252964426877
cctv_sample.avi,11x11,50,80.02680965147452,435.0944373642506,0.6912751677852349
cctv_sample.avi,21x21,10,42.62734584450402,355.84669475657927,0.852803738317757
cctv_sample.avi,21x21,20,62.19839142091153,366.1055012013847,0.7446808510638298
cctv_sample.avi,21x21,30,73.19034852546918,377.2626339111683,0.72
cctv_sample.avi,21x21,50,85.25469168900804,383.88142612872,0.6363636363636364
cctv_sample.avi,31x31,10,49.597855227882036,303.59668881010543,0.7978723404255319
cctv_sample.avi,31x31,20,68.76675603217159,309.946408770201,0.7381974248927039
cctv_sample.avi,31x31,30,78.15013404825737,296.5856078852236,0.7116564417177914
cctv_sample.avi,31x31,50,87.26541554959786,300.1803818519781,0.631578947368421
