# OVERALL METHOD AVERAGES
method,reduction_percentage,fps,continuity_score,avg_segment_length,num_segments,average_motion_area_ratio
Baseline,0.0,477.12960867206675,0.9945371033691376,2282.190476190476,1.0,1.0
FrameDifference,50.402119454586725,335.5514537731809,0.6075727982712869,281.1789468507699,21.357142857142858,0.06588397589488325
GMM,34.86813147345022,39.27000947546933,0.8481559556307859,1027.4150793650795,3.238095238095238,0.06423208831456881
KNN,4.09708599315841,54.46875508729125,0.9918814567250974,1866.4951298701299,2.2142857142857144,0.2830809286208974
MOG2,5.2857619909946365,89.70035732277205,0.9845108245997787,1790.579365079365,3.2857142857142856,0.22328233061247463

# CATEGORY AVERAGES: ACTIVITY TYPE (FOLDER)
method,folder,reduction_percentage,fps,continuity_score,avg_segment_length,num_segments,average_motion_area_ratio
Baseline,Normal,0.0,252.4406286462584,0.9999157664799908,12510.714285714286,1.0,1.0
Baseline,Snatch Theft,0.0,522.0674046772285,0.9934613707469669,236.4857142857143,1.0,1.0
FrameDifference,Normal,14.840837161668881,127.59460172180495,0.9931270165532873,1484.601232303434,52.285714285714285,0.054823378967387856
FrameDifference,Snatch Theft,57.5143759131703,377.1428241834561,0.5304619546148868,40.494489760237066,15.17142857142857,0.06809609528038234
GMM,Normal,5.688277617269523,33.02433321169813,0.9991356074415345,5689.710884353742,9.714285714285714,0.04852396960355122
GMM,Snatch Theft,40.70410224468636,40.519144728223566,0.8179600252686362,94.95591836734694,1.9428571428571428,0.06737371205677234
KNN,Normal,1.8498648367644,38.683281186077316,0.9995036632232706,10105.685064935065,7.142857142857143,0.21056772635905632
KNN,Snatch Theft,4.5465302244372126,57.625849867534036,0.9903570154254627,218.65714285714284,1.2285714285714286,0.2975835690732656
MOG2,Normal,3.296319401122895,52.18921207665545,0.9994915769730698,10104.328571428572,6.571428571428571,0.17317040125444552
MOG2,Snatch Theft,5.683650508968984,97.20258637199537,0.9815146741251206,127.82952380952382,2.6285714285714286,0.23330471648408044

# CATEGORY AVERAGES: LIGHTING (DAY/NIGHT)
method,day_night,reduction_percentage,fps,continuity_score,avg_segment_length,num_segments,average_motion_area_ratio
Baseline,Day,0.0,495.32389881296757,0.994186552997424,1805.4102564102564,1.0,1.0
Baseline,Night,0.0,240.6038368403562,0.9990942582014148,8480.333333333334,1.0,1.0
FrameDifference,Day,52.39535414675205,350.31422695304883,0.5859486213543186,282.63641741052646,20.025641025641026,0.06810419856605213
FrameDifference,Night,24.49006845643751,143.63540243489848,0.8886870981918742,262.2318295739348,38.666666666666664,0.03702108116968796
GMM,Day,36.949249508531864,39.832249005149855,0.8366680619948391,955.7910256410256,3.1538461538461537,0.0666461998044115
GMM,Night,7.813597017388922,31.960895589622407,0.997498572898094,1958.5277777777776,4.333333333333333,0.032848638946614
KNN,Day,4.412246454170595,55.10542139238412,0.9913266258423038,1357.738344988345,2.3076923076923075,0.29319656273372635
KNN,Night,0.0,46.19209312108393,0.9990942582014148,8480.333333333334,1.0,0.1515776851541211
MOG2,Day,5.672685646017046,92.11613806275105,0.9835877844148704,1283.5213675213677,3.3846153846153846,0.23116640751306697
MOG2,Night,0.2557544757033248,58.295207703045065,0.9965103470035874,8382.333333333334,2.0,0.1207893309047741

# CATEGORY AVERAGES: CAMERA MOTION
method,camera_type,reduction_percentage,fps,continuity_score,avg_segment_length,num_segments,average_motion_area_ratio
Baseline,Movement,0.0,156.42634051451728,0.9953384719002,218.0,1.0,1.0
Baseline,Static,0.0,501.79909083803216,0.9944754596359789,2440.974358974359,1.0,1.0
FrameDifference,Movement,14.259256258255869,107.73510822816407,0.9325617283950617,141.73076923076923,9.333333333333334,0.16412143668552806
FrameDifference,Static,53.18233970045833,353.0757880458745,0.5825736498002273,291.9057297446161,22.28205128205128,0.05832724814175673
GMM,Movement,0.8971872927386287,8.724927886510836,0.9952972709551656,216.0,1.0,0.11643273000405263
GMM,Static,37.481281025812656,41.619631136158446,0.836837392913526,1089.8316239316239,3.41025641025641,0.06021665433845468
KNN,Movement,0.0,15.05868655137398,0.9953384719002,218.0,1.0,0.6923105876852079
KNN,Static,4.412246454170595,57.50029882082335,0.9916155324808588,1993.3024475524476,2.3076923076923075,0.25160172407748893
MOG2,Movement,0.0,31.927726386357843,0.9953384719002,218.0,1.0,0.5007785197493537
MOG2,Static,5.692359067224992,94.14440585634237,0.9836779286535924,1911.5470085470083,3.4615384615384617,0.20193646990963776
