video_name,method,threshold_percentage,frames_retained,reduction_percentage,continuity_score,average_motion_area
s_11.avi,Baseline,0.0%,12525,0.0,0.9999201596806387,1.0
s_11.avi,Baseline,0.5%,12525,0.0,0.9999201596806387,1.0
s_11.avi,Baseline,1.0%,12525,0.0,0.9999201596806387,1.0
s_11.avi,Baseline,2.0%,12525,0.0,0.9999201596806387,1.0
s_11.avi,Baseline,5.0%,12525,0.0,0.9999201596806387,1.0
s_11.avi,Baseline,10.0%,12525,0.0,0.9999201596806387,1.0
s_11.avi,FrameDifference,0.0%,12216,2.467065868263473,0.9954158480681073,0.044560484165518145
s_11.avi,FrameDifference,0.5%,12216,2.467065868263473,0.9954158480681073,0.044560484165518145
s_11.avi,FrameDifference,1.0%,11618,7.241516966067864,0.9929419865725598,0.04645090829409212
s_11.avi,FrameDifference,2.0%,9740,22.235528942115767,0.9798767967145791,0.05245197353410895
s_11.avi,FrameDifference,5.0%,4621,63.1057884231537,0.9456827526509414,0.07265112779596156
s_11.avi,FrameDifference,10.0%,364,97.0938123752495,0.6868131868131868,0.13162707355578446
s_11.avi,MOG2,0.0%,12525,0.0,0.9999201596806387,0.1303942742119927
s_11.avi,MOG2,0.5%,12525,0.0,0.9999201596806387,0.1303942742119927
s_11.avi,MOG2,1.0%,12525,0.0,0.9999201596806387,0.1303942742119927
s_11.avi,MOG2,2.0%,12525,0.0,0.9999201596806387,0.1303942742119927
s_11.avi,MOG2,5.0%,12384,1.125748502994012,0.9991925064599483,0.13135960042527997
s_11.avi,MOG2,10.0%,7638,39.017964071856284,0.9842890809112333,0.16462591655551773
s_11.avi,KNN,0.0%,12525,0.0,0.9999201596806387,0.1745244169646826
s_11.avi,KNN,0.5%,12525,0.0,0.9999201596806387,0.1745244169646826
s_11.avi,KNN,1.0%,12525,0.0,0.9999201596806387,0.1745244169646826
s_11.avi,KNN,2.0%,12525,0.0,0.9999201596806387,0.1745244169646826
s_11.avi,KNN,5.0%,12522,0.023952095808383235,0.9997604216578821,0.17455428974518822
s_11.avi,KNN,10.0%,10260,18.08383233532934,0.9933723196881091,0.19481537797220244
s_11.avi,GMM,0.0%,12466,0.47105788423153694,0.9993582544521097,0.04212923152711502
s_11.avi,GMM,0.5%,12466,0.47105788423153694,0.9993582544521097,0.04212923152711502
s_11.avi,GMM,1.0%,11939,4.6786427145708585,0.9972359494094983,0.04363334062953702
s_11.avi,GMM,2.0%,9296,25.780439121756487,0.9851549053356282,0.0516791586220254
s_11.avi,GMM,5.0%,3053,75.62475049900199,0.9590566655748444,0.09080388114377483
s_11.avi,GMM,10.0%,937,92.5189620758483,0.9573105656350054,0.14556713464773804
s_12.avi,Baseline,0.0%,12525,0.0,0.9999201596806387,1.0
s_12.avi,Baseline,0.5%,12525,0.0,0.9999201596806387,1.0
s_12.avi,Baseline,1.0%,12525,0.0,0.9999201596806387,1.0
s_12.avi,Baseline,2.0%,12525,0.0,0.9999201596806387,1.0
s_12.avi,Baseline,5.0%,12525,0.0,0.9999201596806387,1.0
s_12.avi,Baseline,10.0%,12525,0.0,0.9999201596806387,1.0
s_12.avi,FrameDifference,0.0%,12441,0.6706586826347305,0.9982316534040672,0.05289217205906311
s_12.avi,FrameDifference,0.5%,12441,0.6706586826347305,0.9982316534040672,0.05289217205906311
s_12.avi,FrameDifference,1.0%,12122,3.217564870259481,0.9948853324533905,0.05407705597117947
s_12.avi,FrameDifference,2.0%,10874,13.181636726546905,0.9910796395070811,0.05857023460730086
s_12.avi,FrameDifference,5.0%,6487,48.20758483033932,0.9687066440573454,0.07371311968220641
s_12.avi,FrameDifference,10.0%,521,95.84031936127745,0.8694817658349329,0.11135561828548203
s_12.avi,MOG2,0.0%,12525,0.0,0.9999201596806387,0.19287944666223086
s_12.avi,MOG2,0.5%,12525,0.0,0.9999201596806387,0.19287944666223086
s_12.avi,MOG2,1.0%,12525,0.0,0.9999201596806387,0.19287944666223086
s_12.avi,MOG2,2.0%,12525,0.0,0.9999201596806387,0.19287944666223086
s_12.avi,MOG2,5.0%,12477,0.38323353293413176,0.9998397050573055,0.19345790394951687
s_12.avi,MOG2,10.0%,11976,4.383233532934132,0.9982464929859719,0.19822624995361046
s_12.avi,KNN,0.0%,12525,0.0,0.9999201596806387,0.23482531482174304
s_12.avi,KNN,0.5%,12525,0.0,0.9999201596806387,0.23482531482174304
s_12.avi,KNN,1.0%,12525,0.0,0.9999201596806387,0.23482531482174304
s_12.avi,KNN,2.0%,12525,0.0,0.9999201596806387,0.23482531482174304
s_12.avi,KNN,5.0%,12517,0.06387225548902196,0.9998402173044659,0.2349444085037381
s_12.avi,KNN,10.0%,12235,2.315369261477046,0.9995913363302003,0.23867856154644895
s_12.avi,GMM,0.0%,12499,0.20758483033932137,0.9997599807984638,0.0380317213571531
s_12.avi,GMM,0.5%,12499,0.20758483033932137,0.9997599807984638,0.0380317213571531
s_12.avi,GMM,1.0%,12251,2.187624750499002,0.9985307321851278,0.03863063819832743
s_12.avi,GMM,2.0%,9985,20.27944111776447,0.9908863294942414,0.04380496069625277
s_12.avi,GMM,5.0%,2864,77.13373253493015,0.9710195530726257,0.069431973723134
s_12.avi,GMM,10.0%,185,98.52295409181637,0.9297297297297298,0.1254919059684685
s_15.avi,Baseline,0.0%,12525,0.0,0.9999201596806387,1.0
s_15.avi,Baseline,0.5%,12525,0.0,0.9999201596806387,1.0
s_15.avi,Baseline,1.0%,12525,0.0,0.9999201596806387,1.0
s_15.avi,Baseline,2.0%,12525,0.0,0.9999201596806387,1.0
s_15.avi,Baseline,5.0%,12525,0.0,0.9999201596806387,1.0
s_15.avi,Baseline,10.0%,12525,0.0,0.9999201596806387,1.0
s_15.avi,FrameDifference,0.0%,12486,0.31137724550898205,0.9991991029953547,0.06801276561693556
s_15.avi,FrameDifference,0.5%,12486,0.31137724550898205,0.9991991029953547,0.06801276561693556
s_15.avi,FrameDifference,1.0%,12308,1.7325349301397206,0.9980500487487812,0.06887867091652797
s_15.avi,FrameDifference,2.0%,11722,6.4111776447105795,0.9965023033612012,0.0715460292900992
s_15.avi,FrameDifference,5.0%,8726,30.3313373253493,0.9830391932156772,0.08379658014363217
s_15.avi,FrameDifference,10.0%,1958,84.36726546906188,0.9387129724208376,0.12079998989189647
s_15.avi,MOG2,0.0%,12525,0.0,0.9999201596806387,0.25773992189232686
s_15.avi,MOG2,0.5%,12525,0.0,0.9999201596806387,0.25773992189232686
s_15.avi,MOG2,1.0%,12525,0.0,0.9999201596806387,0.25773992189232686
s_15.avi,MOG2,2.0%,12525,0.0,0.9999201596806387,0.25773992189232686
s_15.avi,MOG2,5.0%,12525,0.0,0.9999201596806387,0.25773992189232686
s_15.avi,MOG2,10.0%,12300,1.7964071856287425,0.9989430894308943,0.2608342511432931
s_15.avi,KNN,0.0%,12525,0.0,0.9999201596806387,0.33800106271831437
s_15.avi,KNN,0.5%,12525,0.0,0.9999201596806387,0.33800106271831437
s_15.avi,KNN,1.0%,12525,0.0,0.9999201596806387,0.33800106271831437
s_15.avi,KNN,2.0%,12525,0.0,0.9999201596806387,0.33800106271831437
s_15.avi,KNN,5.0%,12525,0.0,0.9999201596806387,0.33800106271831437
s_15.avi,KNN,10.0%,12481,0.35129740518962077,0.9997596346446599,0.3388588189638538
s_15.avi,GMM,0.0%,12524,0.007984031936127746,0.9999201533056531,0.06000960482262951
s_15.avi,GMM,0.5%,12524,0.007984031936127746,0.9999201533056531,0.06000960482262951
s_15.avi,GMM,1.0%,12435,0.718562874251497,0.9995174909529554,0.06037836506779701
s_15.avi,GMM,2.0%,11591,7.457085828343313,0.9961176775084117,0.06360202989148674
s_15.avi,GMM,5.0%,6507,48.047904191616766,0.9854003380974335,0.08605910898706311
s_15.avi,GMM,10.0%,1632,86.97005988023953,0.9712009803921569,0.13139562336707658
s_18.avi,Baseline,0.0%,12525,0.0,0.9999201596806387,1.0
s_18.avi,Baseline,0.5%,12525,0.0,0.9999201596806387,1.0
s_18.avi,Baseline,1.0%,12525,0.0,0.9999201596806387,1.0
s_18.avi,Baseline,2.0%,12525,0.0,0.9999201596806387,1.0
s_18.avi,Baseline,5.0%,12525,0.0,0.9999201596806387,1.0
s_18.avi,Baseline,10.0%,12525,0.0,0.9999201596806387,1.0
s_18.avi,FrameDifference,0.0%,8602,31.32135728542914,0.9844222273889793,0.023196464348770617
s_18.avi,FrameDifference,0.5%,8602,31.32135728542914,0.9844222273889793,0.023196464348770617
s_18.avi,FrameDifference,1.0%,6863,45.20558882235529,0.9797464665598135,0.027170055093638176
s_18.avi,FrameDifference,2.0%,4376,65.06187624750498,0.9632084095063985,0.03417344934253123
s_18.avi,FrameDifference,5.0%,492,96.07185628742515,0.8943089430894309,0.05695652356100382
s_18.avi,FrameDifference,10.0%,1,99.99201596806387,0.0,0.24597005208333333
s_18.avi,MOG2,0.0%,12525,0.0,0.9999201596806387,0.07296018553171447
s_18.avi,MOG2,0.5%,12525,0.0,0.9999201596806387,0.07296018553171447
s_18.avi,MOG2,1.0%,12525,0.0,0.9999201596806387,0.07296018553171447
s_18.avi,MOG2,2.0%,11858,5.325349301397206,0.9972170686456401,0.07612372090278965
s_18.avi,MOG2,5.0%,7045,43.75249500998004,0.9850958126330731,0.10354030975228716
s_18.avi,MOG2,10.0%,2705,78.40319361277444,0.9674676524953789,0.15427374797828083
s_18.avi,KNN,0.0%,12525,0.0,0.9999201596806387,0.08833791176327925
s_18.avi,KNN,0.5%,12525,0.0,0.9999201596806387,0.08833791176327925
s_18.avi,KNN,1.0%,12525,0.0,0.9999201596806387,0.08833791176327925
s_18.avi,KNN,2.0%,12443,0.654690618762475,0.9995981676444587,0.08880477590660667
s_18.avi,KNN,5.0%,8945,28.582834331337324,0.9906092789267748,0.10879292605078915
s_18.avi,KNN,10.0%,3756,70.01197604790418,0.9755058572949947,0.16265380657152295
s_18.avi,GMM,0.0%,12301,1.7884231536926147,0.9990244695553208,0.03175930474614197
s_18.avi,GMM,0.5%,12301,1.7884231536926147,0.9990244695553208,0.03175930474614197
s_18.avi,GMM,1.0%,11008,12.11177644710579,0.9958212209302325,0.034562799813519486
s_18.avi,GMM,2.0%,7662,38.82634730538922,0.9849908640041765,0.04294726627643833
s_18.avi,GMM,5.0%,2000,84.03193612774452,0.962,0.07371864040798598
s_18.avi,GMM,10.0%,230,98.16367265469061,0.9652173913043478,0.1402527787213164
s_20.avi,Baseline,0.0%,17175,0.0,0.9999417758369723,1.0
s_20.avi,Baseline,0.5%,17175,0.0,0.9999417758369723,1.0
s_20.avi,Baseline,1.0%,17175,0.0,0.9999417758369723,1.0
