video_name,total_frames,processed_frames,discarded_frames,reduction_ratio_pct,elapsed_seconds,fps,avg_ms_per_frame,detections,tracks,interactions,behaviour_graphs,rois,pose_estimations,skeleton_sequences,action_predictions,fused_interactions,signature_matches,forensic_events
1.mp4,615,463,152,24.72,26.76,17.3,57.8,1,2,0,0,0,2,2,2,2,640,640
10.mp4,378,241,137,36.24,24.34,9.9,100.99,7,3,0,1,1,98,1,1,1,109,109
10_0.mp4,1100,1002,98,8.91,104.19,9.62,103.98,1,1,0,4,2,2295,6,6,6,3548,3548
11.mp4,262,175,87,33.21,17.71,9.88,101.22,2,2,1,4,1,143,5,5,5,416,416
11_0.mp4,106,103,3,2.83,7.04,14.64,68.31,1,1,0,0,0,4,1,1,1,96,96
 
