Method,Precision,Recall,F1,Latency_ms,FPS,Status,Reason
ST-GCN,N/A,N/A,N/A,N/A,N/A,NOT EVALUATED,Benchmark dataset missing at Snatch 1.0/Chain Snatching Videos/Snatch Theft. Cannot guarantee fair scientific comparison without identical source data.
CTR-GCN,N/A,N/A,N/A,N/A,N/A,NOT EVALUATED,Scaffold Adapter Only (No actual inference)
MSG3D,N/A,N/A,N/A,N/A,N/A,NOT EVALUATED,Scaffold Adapter Only (No actual inference)
PoseC3D,N/A,N/A,N/A,N/A,N/A,NOT EVALUATED,Scaffold Adapter Only (No actual inference)
